1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB00000051023021
Is Mission Active?  true
Mission Start:  Fri Apr 16 13:01:00 PDT 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1969
Total Samples:  16435
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2021-04-27, 12:01:00 p.m.,C,15.5
2021-04-27, 1:01:00 p.m.,C,16.5
2021-04-27, 2:01:00 p.m.,C,17.5
2021-04-27, 3:01:00 p.m.,C,9.5
2021-04-27, 4:01:00 p.m.,C,9.5
2021-04-27, 5:01:00 p.m.,C,9
2021-04-27, 6:01:00 p.m.,C,9
2021-04-27, 7:01:00 p.m.,C,9.5
2021-04-27, 8:01:00 p.m.,C,9.5
2021-04-27, 9:01:00 p.m.,C,9.5
2021-04-27, 10:01:00 p.m.,C,9.5
2021-04-27, 11:01:00 p.m.,C,9.5
2021-04-28, 12:01:00 a.m.,C,9.5
2021-04-28, 1:01:00 a.m.,C,9
2021-04-28, 2:01:00 a.m.,C,9
2021-04-28, 3:01:00 a.m.,C,9
2021-04-28, 4:01:00 a.m.,C,9
2021-04-28, 5:01:00 a.m.,C,9
2021-04-28, 6:01:00 a.m.,C,9
2021-04-28, 7:01:00 a.m.,C,9
2021-04-28, 8:01:00 a.m.,C,9
2021-04-28, 9:01:00 a.m.,C,11
2021-04-28, 10:01:00 a.m.,C,13
2021-04-28, 11:01:00 a.m.,C,13
2021-04-28, 12:01:00 p.m.,C,17
2021-04-28, 1:01:00 p.m.,C,18.5
2021-04-28, 2:01:00 p.m.,C,19
2021-04-28, 3:01:00 p.m.,C,17
2021-04-28, 4:01:00 p.m.,C,9.5
2021-04-28, 5:01:00 p.m.,C,9.5
2021-04-28, 6:01:00 p.m.,C,9
2021-04-28, 7:01:00 p.m.,C,9
2021-04-28, 8:01:00 p.m.,C,9.5
