date,tide_height_m,hour,site_code
2021-06-25,1.9,20,KE
2021-06-25,2,21,KE
2021-06-25,2.2,22,KE
2021-06-25,2.5,23,KE
2021-06-26,2.8,0,KE
2021-06-26,3,1,KE
2021-06-26,3.1,2,KE
2021-06-26,2.9,3,KE
2021-06-26,2.6,4,KE
2021-06-26,2.1,5,KE
2021-06-26,1.5,6,KE
2021-06-26,0.9,7,KE
2021-06-26,0.4,8,KE
2021-06-26,0,9,KE
2021-06-26,-0.2,10,KE
2021-06-26,0,11,KE
2021-06-26,0.4,12,KE
2021-06-26,0.9,13,KE
2021-06-26,1.4,14,KE
2021-06-26,1.7,15,KE
2021-06-26,2,16,KE
2021-06-26,2.1,17,KE
2021-06-26,2,18,KE
2021-06-26,1.9,19,KE
2021-06-26,1.9,20,KE
2021-06-26,1.9,21,KE
2021-06-26,2,22,KE
2021-06-26,2.2,23,KE
2021-06-27,2.5,0,KE
2021-06-27,2.8,1,KE
2021-06-27,2.9,2,KE
2021-06-27,2.9,3,KE
2021-06-27,2.8,4,KE
2021-06-27,2.5,5,KE
2021-06-27,2,6,KE
2021-06-27,1.4,7,KE
2021-06-27,0.8,8,KE
2021-06-27,0.3,9,KE
2021-06-27,0,10,KE
2021-06-27,0,11,KE
2021-06-27,0.2,12,KE
2021-06-27,0.6,13,KE
2021-06-27,1.1,14,KE
2021-06-27,1.5,15,KE
2021-06-27,1.8,16,KE
2021-06-27,2,17,KE
2021-06-27,2.1,18,KE
2021-06-27,2,19,KE
2021-06-27,1.9,20,KE
2021-06-27,1.9,21,KE
2021-06-27,1.9,22,KE
2021-06-27,2,23,KE
2021-06-28,2.1,0,KE
2021-06-28,2.4,1,KE
2021-06-28,2.6,2,KE
2021-06-28,2.7,3,KE
2021-06-28,2.7,4,KE
2021-06-28,2.5,5,KE
2021-06-28,2.2,6,KE
2021-06-28,1.8,7,KE
2021-06-28,1.2,8,KE
2021-06-28,0.7,9,KE
2021-06-28,0.4,10,KE
2021-06-28,0.2,11,KE
2021-06-28,0.2,12,KE
2021-06-28,0.4,13,KE
2021-06-28,0.8,14,KE
2021-06-28,1.3,15,KE
2021-06-28,1.6,16,KE
2021-06-28,1.9,17,KE
2021-06-28,2.1,18,KE
2021-06-28,2.1,19,KE
2021-06-28,2,20,KE
2021-06-28,1.9,21,KE
2021-06-28,1.9,22,KE
2021-06-28,1.9,23,KE
2021-06-29,1.9,0,KE
2021-06-29,2,1,KE
2021-06-29,2.2,2,KE
2021-06-29,2.4,3,KE
2021-06-29,2.5,4,KE
2021-06-29,2.5,5,KE
2021-06-29,2.3,6,KE
2021-06-29,2,7,KE
2021-06-29,1.6,8,KE
2021-06-29,1.1,9,KE
2021-06-29,0.8,10,KE
2021-06-29,0.5,11,KE
2021-06-29,0.4,12,KE
2021-06-29,0.4,13,KE
2021-06-29,0.7,14,KE
2021-06-29,1.1,15,KE
2021-06-29,1.5,16,KE
2021-06-29,1.8,17,KE
2021-06-29,2,18,KE
2021-06-29,2.1,19,KE
2021-06-29,2.1,20,KE
2021-06-29,2,21,KE
2021-06-29,1.9,22,KE
2021-06-29,1.9,23,KE
2021-06-25,2.9,0,SP
2021-06-25,2.9,1,SP
2021-06-25,3,2,SP
2021-06-25,2.9,3,SP
2021-06-25,2.7,4,SP
2021-06-25,2.3,5,SP
2021-06-25,1.8,6,SP
2021-06-25,1.3,7,SP
2021-06-25,0.7,8,SP
2021-06-25,0.2,9,SP
2021-06-25,-0.1,10,SP
2021-06-25,-0.1,11,SP
2021-06-25,0.2,12,SP
2021-06-25,0.6,13,SP
2021-06-25,1.1,14,SP
2021-06-25,1.6,15,SP
2021-06-25,2,16,SP
2021-06-25,2.2,17,SP
2021-06-25,2.3,18,SP
2021-06-25,2.4,19,SP
2021-06-25,2.5,20,SP
2021-06-25,2.6,21,SP
2021-06-25,2.5,22,SP
2021-06-25,2.6,23,SP
2021-06-26,2.7,0,SP
2021-06-26,2.8,1,SP
2021-06-26,2.9,2,SP
2021-06-26,2.9,3,SP
2021-06-26,2.8,4,SP
2021-06-26,2.6,5,SP
2021-06-26,2.2,6,SP
2021-06-26,1.7,7,SP
2021-06-26,1.1,8,SP
2021-06-26,0.6,9,SP
2021-06-26,0.1,10,SP
2021-06-26,-0.1,11,SP
2021-06-26,0,12,SP
2021-06-26,0.3,13,SP
2021-06-26,0.8,14,SP
2021-06-26,1.2,15,SP
2021-06-26,1.7,16,SP
2021-06-26,2,17,SP
2021-06-26,2.2,18,SP
2021-06-26,2.4,19,SP
2021-06-26,2.5,20,SP
2021-06-26,2.6,21,SP
2021-06-26,2.6,22,SP
2021-06-26,2.5,23,SP
2021-06-27,2.6,0,SP
2021-06-27,2.7,1,SP
2021-06-27,2.8,2,SP
2021-06-27,2.8,3,SP
2021-06-27,2.8,4,SP
2021-06-27,2.7,5,SP
2021-06-27,2.4,6,SP
2021-06-27,2,7,SP
2021-06-27,1.5,8,SP
2021-06-27,1,9,SP
2021-06-27,0.5,10,SP
2021-06-27,0.2,11,SP
2021-06-27,0,12,SP
2021-06-27,0.2,13,SP
2021-06-27,0.5,14,SP
2021-06-27,0.9,15,SP
2021-06-27,1.4,16,SP
2021-06-27,1.8,17,SP
2021-06-27,2.1,18,SP
2021-06-27,2.3,19,SP
2021-06-27,2.4,20,SP
2021-06-27,2.5,21,SP
2021-06-27,2.6,22,SP
2021-06-27,2.5,23,SP
2021-06-28,2.4,0,SP
2021-06-28,2.5,1,SP
2021-06-28,2.5,2,SP
2021-06-28,2.6,3,SP
2021-06-28,2.6,4,SP
2021-06-28,2.6,5,SP
2021-06-28,2.5,6,SP
2021-06-28,2.2,7,SP
2021-06-28,1.8,8,SP
2021-06-28,1.4,9,SP
2021-06-28,1,10,SP
2021-06-28,0.6,11,SP
2021-06-28,0.3,12,SP
2021-06-28,0.3,13,SP
2021-06-28,0.5,14,SP
2021-06-28,0.8,15,SP
2021-06-28,1.2,16,SP
2021-06-28,1.6,17,SP
2021-06-28,1.9,18,SP
2021-06-28,2.2,19,SP
2021-06-28,2.4,20,SP
2021-06-28,2.5,21,SP
2021-06-28,2.5,22,SP
2021-06-28,2.5,23,SP
2021-06-29,2.4,0,SP
2021-06-29,2.3,1,SP
2021-06-29,2.3,2,SP
2021-06-29,2.4,3,SP
2021-06-29,2.4,4,SP
2021-06-29,2.4,5,SP
2021-06-29,2.3,6,SP
2021-06-29,2.2,7,SP
2021-06-29,2,8,SP
2021-06-29,1.7,9,SP
2021-06-29,1.4,10,SP
2021-06-29,1,11,SP
2021-06-29,0.7,12,SP
2021-06-29,0.6,13,SP
2021-06-29,0.6,14,SP
2021-06-29,0.8,15,SP
2021-06-29,1.1,16,SP
2021-06-29,1.4,17,SP
2021-06-29,1.8,18,SP
2021-06-29,2.1,19,SP
2021-06-29,2.3,20,SP
2021-06-29,2.4,21,SP
2021-06-29,2.5,22,SP
2021-06-29,2.5,23,SP
2021-06-25,2.8,0,SN
2021-06-25,2.9,1,SN
2021-06-25,2.9,2,SN
2021-06-25,3,3,SN
2021-06-25,3,4,SN
2021-06-25,2.8,5,SN
2021-06-25,2.4,6,SN
2021-06-25,1.9,7,SN
2021-06-25,1.2,8,SN
2021-06-25,0.5,9,SN
2021-06-25,0,10,SN
2021-06-25,-0.3,11,SN
2021-06-25,-0.2,12,SN
2021-06-25,0.1,13,SN
2021-06-25,0.5,14,SN
2021-06-25,1.1,15,SN
2021-06-25,1.7,16,SN
2021-06-25,2.1,17,SN
2021-06-25,2.5,18,SN
2021-06-25,2.8,19,SN
2021-06-25,2.9,20,SN
2021-06-25,2.9,21,SN
2021-06-25,2.8,22,SN
2021-06-25,2.8,23,SN
2021-06-26,2.8,0,SN
2021-06-26,2.8,1,SN
2021-06-26,2.8,2,SN
2021-06-26,2.9,3,SN
2021-06-26,3,4,SN
2021-06-26,2.9,5,SN
2021-06-26,2.7,6,SN
2021-06-26,2.3,7,SN
2021-06-26,1.8,8,SN
2021-06-26,1.1,9,SN
2021-06-26,0.4,10,SN
2021-06-26,0,11,SN
2021-06-26,-0.2,12,SN
2021-06-26,-0.1,13,SN
2021-06-26,0.3,14,SN
2021-06-26,0.7,15,SN
2021-06-26,1.3,16,SN
2021-06-26,1.8,17,SN
2021-06-26,2.3,18,SN
2021-06-26,2.6,19,SN
2021-06-26,2.8,20,SN
2021-06-26,3,21,SN
2021-06-26,2.9,22,SN
2021-06-26,2.8,23,SN
2021-06-27,2.7,0,SN
2021-06-27,2.7,1,SN
2021-06-27,2.7,2,SN
2021-06-27,2.7,3,SN
2021-06-27,2.8,4,SN
2021-06-27,2.8,5,SN
2021-06-27,2.8,6,SN
2021-06-27,2.5,7,SN
2021-06-27,2.1,8,SN
2021-06-27,1.6,9,SN
2021-06-27,1,10,SN
2021-06-27,0.5,11,SN
2021-06-27,0.1,12,SN
2021-06-27,0,13,SN
2021-06-27,0.2,14,SN
2021-06-27,0.5,15,SN
2021-06-27,0.9,16,SN
2021-06-27,1.5,17,SN
